,group1,group2,meandiff,p-adj,lower,upper,reject,omnibus,sum_sq,df,F,PR(>F),outcome
0,2010,2011,1740.6957,0.9,-8977.0011,12458.3924,False,year,25752907398.8003,1.0,191.2606448910024,1.7992511036051356e-43,raised_amnt
1,2010,2012,1098.0103,0.9,-9157.2247,11353.2452,False,Residual,19331446452838.43,143570.0,,,raised_amnt
2,2010,2013,1406.0971,0.9,-8775.7228,11587.917,False,,,,,,raised_amnt
3,2010,2014,1046.9123,0.9,-9118.3258,11212.1504,False,,,,,,raised_amnt
4,2010,2015,1591.2089999999998,0.9,-8570.9768,11753.3948,False,,,,,,raised_amnt
5,2010,2016,3340.8482,0.9,-6821.6772,13503.3736,False,,,,,,raised_amnt
6,2010,2017,1797.1659,0.9,-8363.9058,11958.2375,False,,,,,,raised_amnt
7,2010,2018,1077.4371,0.9,-9083.133,11238.0071,False,,,,,,raised_amnt
8,2010,2019,143.1063,0.9,-10018.6689,10304.8816,False,,,,,,raised_amnt
9,2011,2012,-642.6854,0.9,-4335.0547,3049.6839,False,,,,,,raised_amnt
10,2011,2013,-334.5986,0.9,-3817.8733,3148.6762,False,,,,,,raised_amnt
11,2011,2014,-693.7833,0.9,-4128.2865,2740.7198,False,,,,,,raised_amnt
12,2011,2015,-149.4867,0.9,-3574.9453,3275.972,False,,,,,,raised_amnt
13,2011,2016,1600.1525,0.9,-1826.3134,5026.6185,False,,,,,,raised_amnt
14,2011,2017,56.4702,0.9,-3365.6818,3478.6222,False,,,,,,raised_amnt
15,2011,2018,-663.2586,0.9,-4083.9209,2757.4037,False,,,,,,raised_amnt
16,2011,2019,-1597.5893,0.9,-5021.8298,1826.6512,False,,,,,,raised_amnt
17,2012,2013,308.0868,0.9,-1252.0489,1868.2225,False,,,,,,raised_amnt
18,2012,2014,-51.098,0.9,-1499.0731,1396.8772,False,,,,,,raised_amnt
19,2012,2015,493.1987,0.9,-933.1909,1919.5883,False,,,,,,raised_amnt
20,2012,2016,2242.8379,0.001,814.0310000000001,3671.6448,True,,,,,,raised_amnt
21,2012,2017,699.1556,0.8558,-719.2748,2117.5860000000002,False,,,,,,raised_amnt
22,2012,2018,-20.5732,0.9,-1435.4057,1394.2593,False,,,,,,raised_amnt
23,2012,2019,-954.9039,0.5097,-2378.3658,468.5579,False,,,,,,raised_amnt
24,2013,2014,-359.1848,0.9,-1131.3533,412.9837,False,,,,,,raised_amnt
25,2013,2015,185.1119,0.9,-545.7775,916.0013,False,,,,,,raised_amnt
26,2013,2016,1934.7511,0.001,1199.1552,2670.347,True,,,,,,raised_amnt
27,2013,2017,391.0688,0.7509999999999999,-324.1632,1106.3008,False,,,,,,raised_amnt
28,2013,2018,-328.66,0.9,-1036.73,379.4099,False,,,,,,raised_amnt
29,2013,2019,-1262.9908,0.001,-1988.1498,-537.8317,True,,,,,,raised_amnt
30,2014,2015,544.2967,0.0041,100.6662,987.9271,True,,,,,,raised_amnt
31,2014,2016,2293.9359,0.001,1842.5935,2745.2782,True,,,,,,raised_amnt
32,2014,2017,750.2536,0.001,332.9222,1167.5849,True,,,,,,raised_amnt
33,2014,2018,30.5247,0.9,-374.4094,435.4589,False,,,,,,raised_amnt
34,2014,2019,-903.806,0.001,-1337.9307,-469.6813,True,,,,,,raised_amnt
35,2015,2016,1749.6392,0.001,1373.255,2126.0234,True,,,,,,raised_amnt
36,2015,2017,205.9569,0.6181,-128.8873,540.8009999999999,False,,,,,,raised_amnt
37,2015,2018,-513.7719,0.001,-833.0317,-194.5121,True,,,,,,raised_amnt
38,2015,2019,-1448.1027,0.001,-1803.6577,-1092.5476,True,,,,,,raised_amnt
39,2016,2017,-1543.6823,0.001,-1888.6787,-1198.6859,True,,,,,,raised_amnt
40,2016,2018,-2263.4111,0.001,-2593.3032,-1933.5191,True,,,,,,raised_amnt
41,2016,2019,-3197.7419,0.001,-3562.8738,-2832.61,True,,,,,,raised_amnt
