count,mean,std,mean_sd_fmt,sum_sq,df,F,PR(>F)
13,4927.0,4032.68421773885,"$4,927.00 ($4,032.68)",25752907398.8003,1.0,191.2606448910024,1.7992511036051356e-43
115,6667.695652173913,7327.058766036058,"$6,667.70 ($7,327.06)",,,,
682,6025.010263929619,9542.229472472756,"$6,025.01 ($9,542.23)",,,,
2874,6333.097077244259,13694.044534663197,"$6,333.10 ($13,694.04)",,,,
10366,5973.912309473278,10613.317555338986,"$5,973.91 ($10,613.32)",,,,
19911,6518.208979960826,9663.027187444179,"$6,518.21 ($9,663.03)",,,,
18061,8267.848181163834,12106.130042199919,"$8,267.85 ($12,106.13)",,,,
29988,6724.165866346539,13309.903946721903,"$6,724.17 ($13,309.90)",,,,
38837,6004.43705744522,11998.869148422154,"$6,004.44 ($11,998.87)",,,,
22725,5070.106314631463,9517.555157639808,"$5,070.11 ($9,517.56)",,,,
