,raised_amnt,winsorized_goal,num_contributors,avg_contribution,percent_goal,likes,shares,2018_year,2017_year,2019_year,2015_year,2016_year,2014_year,2013_year,2012_year,2011_year,2010_year,1 (least deprived)_ndi_quantile_f,2_ndi_quantile_f,3_ndi_quantile_f,4 (most deprived)_ndi_quantile_f,False_brave_is_mentioned,True_brave_is_mentioned,False_nice_is_mentioned,True_nice_is_mentioned,True_thank_is_mentioned,False_thank_is_mentioned,False_self_reliance_is_mentioned,True_self_reliance_is_mentioned,True_battle_is_mentioned,False_battle_is_mentioned,True_ctype_is_mentioned,False_ctype_is_mentioned,False_oop_type_is_mentioned,True_oop_type_is_mentioned,False_insurance_type_is_mentioned,True_insurance_type_is_mentioned,True_tx_type_is_mentioned,False_tx_type_is_mentioned,False_met_goal,True_met_goal
mean,"6,367.77","18,123.95",64.05,102.98,43.99%,68.09,436.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sd,"11,611.49","21,912.28",129.89,101.58,32.19%,593.18,863.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
median,"3,165.00","10,000.00",36.00,86.56,36.38%,38.00,250.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
min,0.00,"2,000.00",0.00,5.00,0.00%,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
max,"1,010,060.00","100,000.00","12,300.00","15,468.60",100.00%,"209,300.00","104,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
missing,489.00,"3,826.00","7,277.00","7,284.00","4,315.00","12,525.00","8,750.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
percent_missing,0.34%,2.66%,5.05%,5.06%,3.00%,8.69%,6.07%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean_sd_fmt,"$6,367.77 ($11,611.49)","$18,123.95 ($21,912.28)",64.05 (129.89),$102.98 ($101.58),43.99% (32.19%),68.09 (593.18),436.71 (863.09),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
median_rg_fmt,"$3,165.00 ($0.00 - $1,010,060.00)","$10,000.00 ($2,000.00 - $100,000.00)","36.00 (0.00 - 12,300.00)","$86.56 ($5.00 - $15,468.60)",36.38% (0.00% - 100.00%),"38.00 (0.00 - 209,300.00)","250.00 (0.00 - 104,000.00)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pct_miss_num,0.34% (489.00),"2.66% (3,826.00)","5.05% (7,277.00)","5.06% (7,284.00)","3.00% (4,315.00)","8.69% (12,525.00)","6.07% (8,750.00)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
count,,,,,,,,38983.0,30256.0,22772.0,19916.0,18082.0,10368.0,2874.0,682.0,115.0,13.0,53252.0,42769.0,35613.0,12427.0,102652.0,41409.0,117900.0,26161.0,103206.0,40855.0,122683.0,21378.0,82543.0,61518.0,119976.0,24085.0,85518.0,58543.0,103633.0,40428.0,97126.0,46935.0,128301.0,15760.0
percent,,,,,,,,27.06%,21.00%,15.81%,13.82%,12.55%,7.20%,1.99%,0.47%,0.08%,0.01%,36.96%,29.69%,24.72%,8.63%,71.26%,28.74%,81.84%,18.16%,71.64%,28.36%,85.16%,14.84%,57.30%,42.70%,83.28%,16.72%,59.36%,40.64%,71.94%,28.06%,67.42%,32.58%,89.06%,10.94%
fmt_count_pct,,,,,,,,27.06% (38983),21.00% (30256),15.81% (22772),13.82% (19916),12.55% (18082),7.20% (10368),1.99% (2874),0.47% (682),0.08% (115),0.01% (13),36.96% (53252),29.69% (42769),24.72% (35613),8.63% (12427),71.26% (102652),28.74% (41409),81.84% (117900),18.16% (26161),71.64% (103206),28.36% (40855),85.16% (122683),14.84% (21378),57.30% (82543),42.70% (61518),83.28% (119976),16.72% (24085),59.36% (85518),40.64% (58543),71.94% (103633),28.06% (40428),67.42% (97126),32.58% (46935),89.06% (128301),10.94% (15760)
